id,date,6h,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge,total-events,unique-locations,active-location-ratio,private-to-public-ratio,location-entropy,location-dominance-ratio,back-and-forth-count,num-transitions
0cda9,2019-04-28,18-24,3,6,6,8,0,19,18,19,79,7,0.88,0.21,2.55,0.24,10,59
0cda9,2019-04-29,00-06,0,0,11,10,0,8,6,4,39,5,0.62,0.61,2.24,0.28,1,23
0cda9,2019-04-29,06-12,4,20,14,36,17,47,30,35,203,8,1.0,0.3,2.78,0.23,21,144
0cda9,2019-04-29,12-18,4,4,2,4,9,29,22,23,97,8,1.0,0.08,2.5,0.3,14,76
0cda9,2019-04-29,18-24,2,1,8,8,2,24,20,25,90,8,1.0,0.13,2.44,0.28,6,67
0cda9,2019-04-30,00-06,0,0,7,10,0,9,8,8,42,5,0.62,0.28,2.31,0.24,3,28
0cda9,2019-04-30,06-12,2,19,7,22,8,28,17,24,127,8,1.0,0.38,2.75,0.22,8,84
0cda9,2019-04-30,12-18,2,4,0,18,4,21,13,35,97,7,0.88,0.06,2.34,0.36,6,62
0cda9,2019-04-30,18-24,4,4,6,14,2,24,18,32,104,8,1.0,0.14,2.55,0.31,9,70
0cda9,2019-05-01,00-06,0,1,12,16,0,11,10,11,61,6,0.75,0.41,2.38,0.26,4,39
0cda9,2019-05-01,06-12,4,25,12,18,8,34,18,21,140,8,1.0,0.51,2.8,0.24,21,98
0cda9,2019-05-01,12-18,0,4,0,10,8,23,13,23,81,6,0.75,0.07,2.37,0.28,11,56
0cda9,2019-05-01,18-24,4,5,5,12,2,21,21,17,87,8,1.0,0.17,2.65,0.24,10,57
0cda9,2019-05-02,00-06,0,0,8,8,0,8,6,2,32,5,0.62,0.5,2.2,0.25,1,19
0cda9,2019-05-02,06-12,8,18,8,18,12,39,26,39,168,8,1.0,0.25,2.78,0.23,21,124
0cda9,2019-05-02,12-18,2,6,1,8,9,23,18,24,91,8,1.0,0.11,2.56,0.26,9,65
0cda9,2019-05-02,18-24,2,3,7,6,3,26,27,27,101,8,1.0,0.12,2.44,0.27,8,73
0cda9,2019-05-03,00-06,0,1,19,21,0,13,12,13,79,6,0.75,0.53,2.35,0.27,4,47
0cda9,2019-05-03,06-12,6,25,6,7,11,32,12,18,117,8,1.0,0.5,2.74,0.27,19,90
0cda9,2019-05-03,12-18,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
0cda9,2019-05-03,18-24,6,2,3,2,4,14,9,6,46,8,1.0,0.17,2.71,0.3,7,38
0cda9,2019-05-04,00-06,0,7,11,6,0,7,5,6,42,6,0.75,1.0,2.54,0.26,1,26
0cda9,2019-05-04,06-12,8,17,10,32,4,36,25,27,159,8,1.0,0.31,2.75,0.23,24,121
