id,date,12h,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
099bc,2019-06-18,12-24,6.0,25.0,40.0,16.0,0.0,21.0,60.0,1.0
099bc,2019-06-19,00-12,4.0,27.0,43.0,6.0,0.0,9.0,15.0,2.0
099bc,2019-06-19,12-24,12.0,10.0,19.0,10.0,0.0,20.0,36.0,2.0
099bc,2019-06-20,00-12,8.0,34.0,50.0,18.0,2.0,39.0,47.0,13.0
099bc,2019-06-20,12-24,16.0,12.0,32.0,20.0,2.0,27.0,41.0,2.0
099bc,2019-06-21,00-12,3.0,30.0,48.0,10.0,0.0,27.0,62.0,5.0
099bc,2019-06-21,12-24,3.0,4.0,10.0,0.0,4.0,9.0,9.0,2.0
099bc,2019-06-24,00-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
099bc,2019-06-24,12-24,2.0,9.0,19.0,2.0,0.0,6.0,6.0,1.0
099bc,2019-06-25,00-12,3.0,32.0,46.0,10.0,0.0,14.0,23.0,0.0
099bc,2019-06-25,12-24,9.0,19.0,39.0,10.0,0.0,19.0,29.0,1.0
099bc,2019-06-26,00-12,8.0,22.0,43.0,12.0,0.0,31.0,53.0,11.0
099bc,2019-06-26,12-24,22.0,18.0,34.0,38.0,4.0,38.0,59.0,3.0
099bc,2019-06-27,00-12,4.0,30.0,40.0,4.0,0.0,15.0,28.0,4.0
099bc,2019-06-27,12-24,16.0,31.0,52.0,28.0,0.0,33.0,49.0,4.0
099bc,2019-06-28,00-12,5.0,20.0,45.0,8.0,0.0,17.0,27.0,1.0
099bc,2019-06-28,12-24,12.0,19.0,50.0,4.0,0.0,28.0,31.0,4.0
099bc,2019-06-29,00-12,1.0,16.0,36.0,4.0,0.0,17.0,26.0,0.0
099bc,2019-06-29,12-24,5.0,22.0,35.0,16.0,0.0,15.0,34.0,1.0
099bc,2019-06-30,00-12,3.0,23.0,43.0,8.0,0.0,23.0,27.0,5.0
099bc,2019-06-30,12-24,3.0,26.0,36.0,10.0,0.0,20.0,32.0,1.0
