id,date,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
b45c2,2019-05-20,0.0,71.0,167.0,50.0,16.0,90.0,80.0,0.0
b45c2,2019-05-21,0.0,68.0,160.0,22.0,20.0,92.0,18.0,0.0
b45c2,2019-05-22,0.0,53.0,166.0,28.0,18.0,96.0,83.0,0.0
b45c2,2019-05-23,0.0,50.0,141.0,20.0,12.0,87.0,62.0,0.0
b45c2,2019-05-24,0.0,51.0,206.0,36.0,12.0,89.0,37.0,5.0
b45c2,2019-05-25,0.0,58.0,170.0,30.0,6.0,84.0,77.0,0.0
b45c2,2019-05-26,0.0,80.0,218.0,52.0,2.0,113.0,71.0,1.0
b45c2,2019-05-27,6.0,38.0,146.0,44.0,18.0,110.0,75.0,19.0
b45c2,2019-05-28,4.0,57.0,179.0,58.0,26.0,106.0,77.0,3.0
b45c2,2019-05-29,0.0,20.0,149.0,26.0,18.0,61.0,67.0,19.0
b45c2,2019-05-30,0.0,48.0,180.0,24.0,8.0,64.0,35.0,0.0
b45c2,2019-05-31,0.0,32.0,160.0,32.0,10.0,61.0,70.0,0.0
b45c2,2019-06-01,2.0,40.0,163.0,35.0,8.0,78.0,62.0,7.0
b45c2,2019-06-02,0.0,23.0,149.0,24.0,0.0,43.0,56.0,0.0
b45c2,2019-06-03,0.0,61.0,229.0,46.0,24.0,101.0,78.0,6.0
b45c2,2019-06-04,2.0,7.0,46.0,14.0,16.0,0.0,29.0,19.0
b45c2,2019-06-05,6.0,34.0,65.0,32.0,28.0,0.0,70.0,27.0
b45c2,2019-06-06,0.0,45.0,139.0,32.0,8.0,0.0,69.0,11.0
b45c2,2019-06-07,2.0,30.0,146.0,28.0,10.0,0.0,77.0,1.0
b45c2,2019-06-08,2.0,44.0,146.0,50.0,12.0,0.0,94.0,1.0
b45c2,2019-06-09,4.0,48.0,196.0,47.0,20.0,0.0,57.0,31.0
b45c2,2019-06-10,0.0,56.0,159.0,42.0,4.0,0.0,64.0,1.0
b45c2,2019-06-11,2.0,72.0,168.0,52.0,12.0,0.0,57.0,12.0
