id,location,date-time,date
0cda9,back-door,2019-04-15 13:22:50,2019-04-15
0cda9,fridge-door,2019-04-15 13:22:52,2019-04-15
0cda9,lounge,2019-04-15 13:24:22,2019-04-15
0cda9,bedroom,2019-04-15 13:24:59,2019-04-15
0cda9,bathroom,2019-04-15 13:25:30,2019-04-15
0cda9,kitchen,2019-04-15 13:26:57,2019-04-15
0cda9,fridge-door,2019-04-15 13:27:09,2019-04-15
0cda9,bathroom,2019-04-15 13:27:37,2019-04-15
0cda9,back-door,2019-04-15 13:28:01,2019-04-15
0cda9,kitchen,2019-04-15 13:28:15,2019-04-15
0cda9,front-door,2019-04-15 13:28:33,2019-04-15
0cda9,bedroom,2019-04-15 13:29:50,2019-04-15
0cda9,lounge,2019-04-15 13:30:04,2019-04-15
0cda9,kitchen,2019-04-15 13:30:04,2019-04-15
0cda9,bathroom,2019-04-15 13:30:16,2019-04-15
0cda9,bathroom,2019-04-15 13:31:24,2019-04-15
0cda9,bedroom,2019-04-15 13:32:27,2019-04-15
0cda9,kitchen,2019-04-15 13:32:45,2019-04-15
0cda9,lounge,2019-04-15 13:32:52,2019-04-15
0cda9,bathroom,2019-04-15 13:35:56,2019-04-15
0cda9,lounge,2019-04-15 13:36:30,2019-04-15
0cda9,kitchen,2019-04-15 13:37:32,2019-04-15
0cda9,bedroom,2019-04-15 13:38:05,2019-04-15
0cda9,fridge-door,2019-04-15 13:39:39,2019-04-15
0cda9,fridge-door,2019-04-15 13:39:41,2019-04-15
0cda9,fridge-door,2019-04-15 13:40:37,2019-04-15
0cda9,fridge-door,2019-04-15 13:40:44,2019-04-15
0cda9,fridge-door,2019-04-15 13:40:53,2019-04-15
0cda9,fridge-door,2019-04-15 13:40:57,2019-04-15
0cda9,fridge-door,2019-04-15 13:40:58,2019-04-15
0cda9,back-door,2019-04-15 13:42:01,2019-04-15
0cda9,back-door,2019-04-15 13:42:04,2019-04-15
0cda9,back-door,2019-04-15 13:42:05,2019-04-15
0cda9,back-door,2019-04-15 13:42:07,2019-04-15
0cda9,back-door,2019-04-15 13:42:23,2019-04-15
0cda9,back-door,2019-04-15 13:42:24,2019-04-15
0cda9,back-door,2019-04-15 13:42:28,2019-04-15
0cda9,back-door,2019-04-15 13:42:31,2019-04-15
0cda9,back-door,2019-04-15 13:42:33,2019-04-15
0cda9,back-door,2019-04-15 13:42:35,2019-04-15
0cda9,back-door,2019-04-15 13:42:50,2019-04-15
0cda9,back-door,2019-04-15 13:43:01,2019-04-15
0cda9,back-door,2019-04-15 13:43:09,2019-04-15
0cda9,back-door,2019-04-15 13:43:40,2019-04-15
0cda9,back-door,2019-04-15 13:44:30,2019-04-15
0cda9,back-door,2019-04-15 13:44:42,2019-04-15
0cda9,back-door,2019-04-15 13:44:44,2019-04-15
0cda9,back-door,2019-04-15 13:44:46,2019-04-15
0cda9,back-door,2019-04-15 13:44:47,2019-04-15
0cda9,back-door,2019-04-15 13:44:58,2019-04-15
0cda9,back-door,2019-04-15 13:45:02,2019-04-15
0cda9,back-door,2019-04-15 13:45:04,2019-04-15
0cda9,back-door,2019-04-15 13:45:20,2019-04-15
0cda9,front-door,2019-04-15 13:48:24,2019-04-15
0cda9,front-door,2019-04-15 13:48:28,2019-04-15
0cda9,front-door,2019-04-15 13:48:48,2019-04-15
0cda9,front-door,2019-04-15 13:48:51,2019-04-15
0cda9,front-door,2019-04-15 13:48:52,2019-04-15
0cda9,lounge,2019-04-15 13:51:31,2019-04-15
0cda9,kitchen,2019-04-15 13:52:05,2019-04-15
0cda9,bathroom,2019-04-15 13:53:08,2019-04-15
0cda9,kitchen,2019-04-15 13:54:02,2019-04-15
0cda9,bedroom,2019-04-15 13:54:06,2019-04-15
0cda9,kitchen,2019-04-15 13:55:37,2019-04-15
0cda9,bedroom,2019-04-15 13:55:59,2019-04-15
0cda9,kitchen,2019-04-15 13:56:41,2019-04-15
0cda9,lounge,2019-04-15 13:56:50,2019-04-15
0cda9,kitchen,2019-04-15 13:57:47,2019-04-15
0cda9,kitchen,2019-04-15 13:59:18,2019-04-15
0cda9,kitchen,2019-04-15 14:00:49,2019-04-15
0cda9,lounge,2019-04-15 14:02:00,2019-04-15
0cda9,front-door,2019-04-15 14:02:55,2019-04-15
0cda9,front-door,2019-04-15 14:02:59,2019-04-15
0cda9,front-door,2019-04-15 14:03:03,2019-04-15
0cda9,front-door,2019-04-15 14:03:09,2019-04-15
0cda9,front-door,2019-04-15 14:03:14,2019-04-15
0cda9,front-door,2019-04-15 14:03:22,2019-04-15
0cda9,front-door,2019-04-15 14:03:24,2019-04-15
0cda9,front-door,2019-04-15 14:03:27,2019-04-15
0cda9,kitchen,2019-04-15 14:05:23,2019-04-15
0cda9,kitchen,2019-04-15 14:07:19,2019-04-15
0cda9,kitchen,2019-04-15 14:08:49,2019-04-15
0cda9,front-door,2019-04-15 14:09:38,2019-04-15
0cda9,front-door,2019-04-15 14:09:39,2019-04-15
0cda9,lounge,2019-04-15 14:11:16,2019-04-15
0cda9,front-door,2019-04-15 14:11:57,2019-04-15
0cda9,lounge,2019-04-15 14:12:31,2019-04-15
0cda9,kitchen,2019-04-15 14:12:36,2019-04-15
0cda9,kitchen,2019-04-15 14:15:12,2019-04-15
0cda9,lounge,2019-04-15 14:15:34,2019-04-15
0cda9,kitchen,2019-04-15 14:18:03,2019-04-15
0cda9,kitchen,2019-04-15 14:23:15,2019-04-15
0cda9,kitchen,2019-04-15 14:25:33,2019-04-15
0cda9,lounge,2019-04-15 14:26:00,2019-04-15
0cda9,lounge,2019-04-15 14:27:11,2019-04-15
0cda9,lounge,2019-04-15 14:28:56,2019-04-15
0cda9,kitchen,2019-04-15 14:29:02,2019-04-15
0cda9,kitchen,2019-04-15 14:30:49,2019-04-15
0cda9,bathroom,2019-04-15 14:31:08,2019-04-15
0cda9,kitchen,2019-04-15 14:32:40,2019-04-15
0cda9,kitchen,2019-04-15 14:33:48,2019-04-15
0cda9,kitchen,2019-04-15 14:36:54,2019-04-15
0cda9,kitchen,2019-04-15 14:40:58,2019-04-15
0cda9,kitchen,2019-04-15 14:46:50,2019-04-15
0cda9,kitchen,2019-04-15 14:47:55,2019-04-15
0cda9,kitchen,2019-04-15 14:49:08,2019-04-15
0cda9,front-door,2019-04-15 14:51:02,2019-04-15
0cda9,front-door,2019-04-15 14:51:26,2019-04-15
0cda9,kitchen,2019-04-15 14:51:33,2019-04-15
0cda9,front-door,2019-04-15 14:52:08,2019-04-15
0cda9,kitchen,2019-04-15 14:53:12,2019-04-15
0cda9,front-door,2019-04-15 14:54:41,2019-04-15
0cda9,kitchen,2019-04-15 14:54:46,2019-04-15
0cda9,front-door,2019-04-15 14:54:54,2019-04-15
0cda9,front-door,2019-04-15 14:55:09,2019-04-15
0cda9,bathroom,2019-04-15 14:56:02,2019-04-15
0cda9,kitchen,2019-04-15 14:56:44,2019-04-15
0cda9,lounge,2019-04-15 14:58:07,2019-04-15
0cda9,front-door,2019-04-15 14:59:05,2019-04-15
0cda9,front-door,2019-04-15 15:00:23,2019-04-15
0cda9,front-door,2019-04-15 15:00:39,2019-04-15
0cda9,front-door,2019-04-15 15:00:46,2019-04-15
0cda9,front-door,2019-04-15 15:04:58,2019-04-15
0cda9,front-door,2019-04-15 15:04:59,2019-04-15
0cda9,front-door,2019-04-15 15:05:13,2019-04-15
0cda9,front-door,2019-04-15 15:05:16,2019-04-15
0cda9,front-door,2019-04-15 15:05:21,2019-04-15
0cda9,front-door,2019-04-15 15:05:33,2019-04-15
0cda9,front-door,2019-04-15 15:06:07,2019-04-15
0cda9,front-door,2019-04-15 15:06:10,2019-04-15
0cda9,front-door,2019-04-15 15:06:11,2019-04-15
0cda9,front-door,2019-04-15 15:06:13,2019-04-15
0cda9,front-door,2019-04-15 15:06:33,2019-04-15
0cda9,front-door,2019-04-15 15:06:39,2019-04-15
0cda9,front-door,2019-04-15 15:07:01,2019-04-15
0cda9,front-door,2019-04-15 15:18:41,2019-04-15
0cda9,front-door,2019-04-15 15:18:46,2019-04-15
0cda9,lounge,2019-04-15 15:19:11,2019-04-15
0cda9,kitchen,2019-04-15 15:19:20,2019-04-15
0cda9,lounge,2019-04-15 15:22:37,2019-04-15
0cda9,lounge,2019-04-15 15:38:22,2019-04-15
0cda9,lounge,2019-04-15 16:08:24,2019-04-15
0cda9,lounge,2019-04-15 16:16:53,2019-04-15
0cda9,kitchen,2019-04-15 16:17:06,2019-04-15
0cda9,fridge-door,2019-04-15 16:18:43,2019-04-15
0cda9,fridge-door,2019-04-15 16:19:01,2019-04-15
0cda9,kitchen,2019-04-15 16:20:04,2019-04-15
0cda9,kitchen,2019-04-15 16:21:05,2019-04-15
0cda9,kitchen,2019-04-15 16:22:17,2019-04-15
0cda9,lounge,2019-04-15 16:22:28,2019-04-15
0cda9,lounge,2019-04-15 16:29:31,2019-04-15
0cda9,kitchen,2019-04-15 16:40:43,2019-04-15
0cda9,lounge,2019-04-15 16:56:52,2019-04-15
0cda9,lounge,2019-04-15 17:19:56,2019-04-15
0cda9,kitchen,2019-04-15 17:21:28,2019-04-15
0cda9,back-door,2019-04-15 17:21:44,2019-04-15
0cda9,back-door,2019-04-15 17:23:39,2019-04-15
0cda9,front-door,2019-04-15 17:23:51,2019-04-15
0cda9,front-door,2019-04-15 17:24:03,2019-04-15
0cda9,bathroom,2019-04-15 17:24:18,2019-04-15
0cda9,kitchen,2019-04-15 17:25:24,2019-04-15
0cda9,fridge-door,2019-04-15 17:25:45,2019-04-15
0cda9,fridge-door,2019-04-15 17:25:57,2019-04-15
0cda9,lounge,2019-04-15 17:26:54,2019-04-15
0cda9,lounge,2019-04-15 17:27:59,2019-04-15
0cda9,kitchen,2019-04-15 17:28:05,2019-04-15
0cda9,kitchen,2019-04-15 17:30:43,2019-04-15
0cda9,kitchen,2019-04-15 17:32:48,2019-04-15
0cda9,fridge-door,2019-04-15 17:35:08,2019-04-15
0cda9,kitchen,2019-04-15 17:35:44,2019-04-15
0cda9,fridge-door,2019-04-15 17:36:04,2019-04-15
0cda9,fridge-door,2019-04-15 17:38:50,2019-04-15
0cda9,fridge-door,2019-04-15 17:38:55,2019-04-15
0cda9,lounge,2019-04-15 17:39:08,2019-04-15
