id,location,date-time,date
d44d2,fridge-door,2019-06-13 14:18:31,2019-06-13
d44d2,back-door,2019-06-13 14:18:31,2019-06-13
d44d2,hallway,2019-06-13 14:27:13,2019-06-13
d44d2,kitchen,2019-06-13 14:27:32,2019-06-13
d44d2,lounge,2019-06-13 14:28:28,2019-06-13
d44d2,bedroom,2019-06-13 14:29:03,2019-06-13
d44d2,bathroom,2019-06-13 14:29:19,2019-06-13
d44d2,fridge-door,2019-06-13 14:29:31,2019-06-13
d44d2,back-door,2019-06-13 14:30:08,2019-06-13
d44d2,kitchen,2019-06-13 14:30:25,2019-06-13
d44d2,front-door,2019-06-13 14:30:38,2019-06-13
d44d2,bathroom,2019-06-13 14:30:56,2019-06-13
d44d2,hallway,2019-06-13 14:30:56,2019-06-13
d44d2,lounge,2019-06-13 14:31:41,2019-06-13
d44d2,hallway,2019-06-13 14:32:57,2019-06-13
d44d2,bathroom,2019-06-13 14:32:59,2019-06-13
d44d2,kitchen,2019-06-13 14:33:45,2019-06-13
d44d2,bedroom,2019-06-13 14:33:46,2019-06-13
d44d2,lounge,2019-06-13 14:34:53,2019-06-13
d44d2,kitchen,2019-06-13 14:35:20,2019-06-13
d44d2,bathroom,2019-06-13 14:35:51,2019-06-13
d44d2,bathroom,2019-06-13 14:37:27,2019-06-13
d44d2,lounge,2019-06-13 14:37:28,2019-06-13
d44d2,hallway,2019-06-13 14:37:55,2019-06-13
d44d2,kitchen,2019-06-13 14:39:23,2019-06-13
d44d2,lounge,2019-06-13 14:39:51,2019-06-13
d44d2,bedroom,2019-06-13 14:39:51,2019-06-13
d44d2,bathroom,2019-06-13 14:40:49,2019-06-13
d44d2,hallway,2019-06-13 14:42:06,2019-06-13
d44d2,lounge,2019-06-13 14:42:37,2019-06-13
d44d2,bedroom,2019-06-13 14:43:58,2019-06-13
d44d2,kitchen,2019-06-13 14:44:00,2019-06-13
d44d2,lounge,2019-06-13 14:44:00,2019-06-13
d44d2,hallway,2019-06-13 14:44:01,2019-06-13
d44d2,bathroom,2019-06-13 14:44:39,2019-06-13
d44d2,bathroom,2019-06-13 14:46:43,2019-06-13
d44d2,lounge,2019-06-13 14:46:43,2019-06-13
