id,location,date-time,date
0f352,bathroom,2019-06-25 13:12:10,2019-06-25
0f352,bathroom,2019-06-25 13:16:32,2019-06-25
0f352,fridge-door,2019-06-25 13:16:37,2019-06-25
0f352,back-door,2019-06-25 13:16:42,2019-06-25
0f352,lounge,2019-06-25 13:16:44,2019-06-25
0f352,fridge-door,2019-06-25 13:16:57,2019-06-25
0f352,hallway,2019-06-25 13:17:09,2019-06-25
0f352,bedroom,2019-06-25 13:17:43,2019-06-25
0f352,hallway,2019-06-25 13:18:45,2019-06-25
0f352,bathroom,2019-06-25 13:18:53,2019-06-25
0f352,fridge-door,2019-06-25 13:19:48,2019-06-25
0f352,fridge-door,2019-06-25 13:19:58,2019-06-25
0f352,fridge-door,2019-06-25 13:20:23,2019-06-25
0f352,fridge-door,2019-06-25 13:20:28,2019-06-25
0f352,bathroom,2019-06-25 13:21:20,2019-06-25
0f352,fridge-door,2019-06-25 13:23:22,2019-06-25
0f352,bathroom,2019-06-25 13:23:23,2019-06-25
0f352,fridge-door,2019-06-25 13:23:27,2019-06-25
0f352,fridge-door,2019-06-25 13:24:04,2019-06-25
0f352,fridge-door,2019-06-25 13:24:09,2019-06-25
0f352,fridge-door,2019-06-25 13:24:18,2019-06-25
0f352,fridge-door,2019-06-25 13:24:22,2019-06-25
0f352,bathroom,2019-06-25 13:24:50,2019-06-25
0f352,bathroom,2019-06-25 13:26:04,2019-06-25
0f352,bathroom,2019-06-25 13:32:37,2019-06-25
0f352,fridge-door,2019-06-25 13:33:05,2019-06-25
0f352,bathroom,2019-06-25 13:34:02,2019-06-25
0f352,fridge-door,2019-06-25 13:34:05,2019-06-25
0f352,fridge-door,2019-06-25 13:36:03,2019-06-25
0f352,fridge-door,2019-06-25 13:36:06,2019-06-25
0f352,bathroom,2019-06-25 13:37:26,2019-06-25
0f352,bathroom,2019-06-25 13:38:45,2019-06-25
0f352,hallway,2019-06-25 13:41:26,2019-06-25
0f352,bedroom,2019-06-25 13:41:43,2019-06-25
0f352,bedroom,2019-06-25 13:47:18,2019-06-25
0f352,hallway,2019-06-25 13:48:00,2019-06-25
0f352,back-door,2019-06-25 13:48:07,2019-06-25
0f352,bathroom,2019-06-25 13:49:51,2019-06-25
0f352,hallway,2019-06-25 13:50:03,2019-06-25
0f352,hallway,2019-06-25 13:51:11,2019-06-25
0f352,bathroom,2019-06-25 13:51:54,2019-06-25
0f352,back-door,2019-06-25 13:53:12,2019-06-25
0f352,back-door,2019-06-25 16:03:46,2019-06-25
0f352,back-door,2019-06-25 16:03:51,2019-06-25
0f352,bathroom,2019-06-25 16:04:08,2019-06-25
0f352,back-door,2019-06-25 16:04:29,2019-06-25
0f352,back-door,2019-06-25 16:04:37,2019-06-25
0f352,back-door,2019-06-25 16:04:45,2019-06-25
