id,location,date-time,date
a380e,fridge-door,2019-04-29 12:07:31,2019-04-29
a380e,lounge,2019-04-29 12:07:51,2019-04-29
a380e,lounge,2019-04-29 12:10:11,2019-04-29
a380e,lounge,2019-04-29 12:12:56,2019-04-29
a380e,lounge,2019-04-29 12:14:08,2019-04-29
a380e,lounge,2019-04-29 12:15:30,2019-04-29
a380e,lounge,2019-04-29 12:18:24,2019-04-29
a380e,hallway,2019-04-29 12:19:14,2019-04-29
a380e,bedroom,2019-04-29 12:19:30,2019-04-29
a380e,lounge,2019-04-29 12:20:12,2019-04-29
a380e,kitchen,2019-04-29 12:20:15,2019-04-29
a380e,hallway,2019-04-29 12:21:59,2019-04-29
a380e,lounge,2019-04-29 12:22:00,2019-04-29
a380e,kitchen,2019-04-29 12:23:27,2019-04-29
a380e,lounge,2019-04-29 12:24:22,2019-04-29
a380e,kitchen,2019-04-29 12:29:20,2019-04-29
a380e,lounge,2019-04-29 12:30:50,2019-04-29
a380e,kitchen,2019-04-29 12:31:43,2019-04-29
a380e,kitchen,2019-04-29 12:33:42,2019-04-29
a380e,lounge,2019-04-29 12:34:39,2019-04-29
a380e,lounge,2019-04-29 12:36:13,2019-04-29
a380e,lounge,2019-04-29 12:43:00,2019-04-29
a380e,lounge,2019-04-29 12:44:26,2019-04-29
a380e,lounge,2019-04-29 12:45:36,2019-04-29
a380e,hallway,2019-04-29 12:49:46,2019-04-29
a380e,lounge,2019-04-29 12:50:16,2019-04-29
a380e,lounge,2019-04-29 12:54:53,2019-04-29
a380e,lounge,2019-04-29 12:56:42,2019-04-29
a380e,lounge,2019-04-29 12:58:31,2019-04-29
a380e,lounge,2019-04-29 13:00:51,2019-04-29
a380e,kitchen,2019-04-29 13:02:46,2019-04-29
a380e,lounge,2019-04-29 13:03:36,2019-04-29
a380e,hallway,2019-04-29 13:05:33,2019-04-29
a380e,front-door,2019-04-29 13:05:45,2019-04-29
a380e,front-door,2019-04-29 13:05:50,2019-04-29
a380e,lounge,2019-04-29 13:06:18,2019-04-29
a380e,lounge,2019-04-29 13:07:48,2019-04-29
a380e,lounge,2019-04-29 13:10:32,2019-04-29
a380e,lounge,2019-04-29 13:12:17,2019-04-29
a380e,lounge,2019-04-29 13:13:58,2019-04-29
a380e,kitchen,2019-04-29 13:19:22,2019-04-29
a380e,lounge,2019-04-29 13:20:02,2019-04-29
a380e,kitchen,2019-04-29 13:20:54,2019-04-29
a380e,kitchen,2019-04-29 13:23:34,2019-04-29
a380e,hallway,2019-04-29 13:24:35,2019-04-29
a380e,front-door,2019-04-29 13:24:42,2019-04-29
a380e,front-door,2019-04-29 13:25:29,2019-04-29
a380e,hallway,2019-04-29 13:25:53,2019-04-29
a380e,front-door,2019-04-29 13:26:04,2019-04-29
a380e,lounge,2019-04-29 13:26:10,2019-04-29
a380e,front-door,2019-04-29 13:27:11,2019-04-29
a380e,lounge,2019-04-29 13:27:28,2019-04-29
a380e,kitchen,2019-04-29 13:28:12,2019-04-29
a380e,bedroom,2019-04-29 13:29:39,2019-04-29
a380e,hallway,2019-04-29 13:31:03,2019-04-29
a380e,kitchen,2019-04-29 13:31:49,2019-04-29
a380e,fridge-door,2019-04-29 13:32:03,2019-04-29
a380e,fridge-door,2019-04-29 13:32:12,2019-04-29
a380e,kitchen,2019-04-29 13:32:53,2019-04-29
a380e,hallway,2019-04-29 13:32:59,2019-04-29
a380e,lounge,2019-04-29 13:33:09,2019-04-29
a380e,kitchen,2019-04-29 13:33:56,2019-04-29
a380e,kitchen,2019-04-29 13:35:18,2019-04-29
a380e,fridge-door,2019-04-29 13:35:50,2019-04-29
a380e,fridge-door,2019-04-29 13:36:04,2019-04-29
a380e,lounge,2019-04-29 13:36:24,2019-04-29
a380e,hallway,2019-04-29 13:36:59,2019-04-29
a380e,bedroom,2019-04-29 13:37:19,2019-04-29
a380e,kitchen,2019-04-29 13:37:41,2019-04-29
a380e,lounge,2019-04-29 13:38:16,2019-04-29
a380e,lounge,2019-04-29 13:39:27,2019-04-29
a380e,kitchen,2019-04-29 13:40:58,2019-04-29
a380e,lounge,2019-04-29 13:41:58,2019-04-29
a380e,kitchen,2019-04-29 13:43:46,2019-04-29
a380e,lounge,2019-04-29 13:44:52,2019-04-29
a380e,lounge,2019-04-29 13:48:14,2019-04-29
a380e,kitchen,2019-04-29 13:49:07,2019-04-29
a380e,lounge,2019-04-29 13:52:35,2019-04-29
a380e,lounge,2019-04-29 13:53:57,2019-04-29
a380e,kitchen,2019-04-29 13:55:49,2019-04-29
a380e,lounge,2019-04-29 13:55:57,2019-04-29
