id,date,hour,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
ab47a,2019-05-17,10,1.0,3.0,9.0,14.0,12.0,13.0,8.0,20.0
ab47a,2019-05-17,11,0.0,0.0,0.0,0.0,6.0,3.0,0.0,15.0
ab47a,2019-05-17,12,0.0,0.0,11.0,6.0,6.0,16.0,10.0,13.0
ab47a,2019-05-17,13,0.0,0.0,0.0,2.0,4.0,6.0,7.0,10.0
ab47a,2019-05-17,14,0.0,0.0,0.0,2.0,8.0,4.0,1.0,3.0
ab47a,2019-05-17,15,0.0,0.0,3.0,2.0,2.0,7.0,3.0,7.0
ab47a,2019-05-17,16,0.0,0.0,1.0,0.0,4.0,3.0,1.0,4.0
ab47a,2019-05-17,17,0.0,0.0,1.0,0.0,8.0,5.0,1.0,4.0
ab47a,2019-05-17,18,0.0,0.0,0.0,4.0,0.0,3.0,14.0,14.0
ab47a,2019-05-17,19,0.0,0.0,6.0,0.0,6.0,10.0,2.0,7.0
ab47a,2019-05-17,20,0.0,0.0,0.0,8.0,0.0,0.0,10.0,5.0
ab47a,2019-05-17,21,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
ab47a,2019-05-17,22,0.0,0.0,0.0,4.0,1.0,4.0,2.0,3.0
ab47a,2019-05-17,23,0.0,0.0,8.0,0.0,1.0,9.0,4.0,6.0
ab47a,2019-05-18,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
ab47a,2019-05-18,9,0.0,0.0,4.0,6.0,2.0,8.0,10.0,4.0
ab47a,2019-05-18,10,0.0,0.0,15.0,0.0,0.0,8.0,0.0,0.0
ab47a,2019-05-18,11,0.0,0.0,3.0,0.0,4.0,8.0,6.0,11.0
ab47a,2019-05-18,12,0.0,0.0,0.0,2.0,0.0,3.0,12.0,13.0
ab47a,2019-05-18,13,0.0,0.0,2.0,0.0,2.0,5.0,1.0,6.0
ab47a,2019-05-18,14,0.0,0.0,0.0,6.0,6.0,5.0,11.0,11.0
ab47a,2019-05-18,15,0.0,0.0,2.0,0.0,0.0,3.0,3.0,5.0
ab47a,2019-05-18,16,0.0,0.0,1.0,2.0,0.0,3.0,4.0,6.0
ab47a,2019-05-18,17,0.0,0.0,0.0,2.0,4.0,7.0,2.0,5.0
ab47a,2019-05-18,18,0.0,0.0,13.0,2.0,2.0,13.0,3.0,3.0
ab47a,2019-05-18,23,0.0,0.0,11.0,0.0,2.0,9.0,3.0,5.0
ab47a,2019-05-19,5,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0
ab47a,2019-05-19,9,0.0,0.0,5.0,8.0,0.0,7.0,5.0,3.0
ab47a,2019-05-19,10,0.0,0.0,7.0,0.0,4.0,6.0,3.0,6.0
ab47a,2019-05-19,11,0.0,0.0,4.0,0.0,0.0,3.0,3.0,3.0
