id,date,hour,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
0697d,2019-06-28,13,11.0,5.0,10.0,21.0,13.0,9.0,10.0,14.0
0697d,2019-06-28,14,0.0,0.0,7.0,2.0,7.0,9.0,20.0,16.0
0697d,2019-06-28,15,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.0
0697d,2019-06-28,16,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0
0697d,2019-06-28,17,1.0,0.0,1.0,0.0,7.0,9.0,12.0,7.0
0697d,2019-06-28,18,1.0,0.0,0.0,0.0,1.0,2.0,18.0,16.0
0697d,2019-06-28,19,0.0,0.0,0.0,0.0,0.0,1.0,13.0,2.0
0697d,2019-06-28,20,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
0697d,2019-06-28,22,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0
0697d,2019-06-28,23,0.0,2.0,6.0,0.0,0.0,6.0,7.0,9.0
0697d,2019-06-29,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
0697d,2019-06-29,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0697d,2019-06-29,6,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0
0697d,2019-06-29,8,0.0,1.0,6.0,0.0,0.0,2.0,9.0,3.0
0697d,2019-06-29,9,0.0,6.0,2.0,0.0,0.0,6.0,14.0,3.0
0697d,2019-06-29,10,0.0,0.0,3.0,0.0,6.0,10.0,13.0,9.0
0697d,2019-06-29,11,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0
0697d,2019-06-29,12,0.0,0.0,0.0,0.0,2.0,0.0,4.0,10.0
0697d,2019-06-29,13,1.0,0.0,0.0,2.0,4.0,2.0,13.0,6.0
0697d,2019-06-29,14,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0
0697d,2019-06-29,15,0.0,0.0,0.0,2.0,0.0,2.0,4.0,10.0
0697d,2019-06-29,16,0.0,0.0,0.0,0.0,0.0,7.0,3.0,21.0
0697d,2019-06-29,17,0.0,4.0,8.0,0.0,5.0,11.0,16.0,16.0
0697d,2019-06-29,18,0.0,0.0,1.0,2.0,2.0,7.0,7.0,8.0
0697d,2019-06-29,19,0.0,0.0,0.0,2.0,0.0,0.0,10.0,4.0
0697d,2019-06-29,21,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0
0697d,2019-06-29,22,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
0697d,2019-06-29,23,0.0,0.0,0.0,0.0,2.0,4.0,14.0,12.0
0697d,2019-06-30,0,0.0,0.0,7.0,0.0,0.0,5.0,2.0,5.0
0697d,2019-06-30,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0697d,2019-06-30,3,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0
0697d,2019-06-30,4,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
0697d,2019-06-30,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0697d,2019-06-30,6,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
0697d,2019-06-30,8,0.0,2.0,17.0,0.0,0.0,4.0,9.0,4.0
0697d,2019-06-30,9,1.0,10.0,9.0,0.0,0.0,2.0,6.0,3.0
0697d,2019-06-30,10,0.0,1.0,1.0,0.0,0.0,3.0,11.0,4.0
0697d,2019-06-30,11,1.0,0.0,4.0,0.0,2.0,6.0,5.0,7.0
0697d,2019-06-30,14,1.0,0.0,0.0,0.0,2.0,5.0,15.0,10.0
0697d,2019-06-30,15,0.0,0.0,0.0,0.0,0.0,1.0,10.0,4.0
0697d,2019-06-30,16,0.0,0.0,0.0,0.0,4.0,5.0,5.0,9.0
0697d,2019-06-30,17,0.0,0.0,0.0,0.0,0.0,6.0,6.0,8.0
0697d,2019-06-30,18,0.0,0.0,0.0,0.0,0.0,10.0,17.0,16.0
0697d,2019-06-30,19,1.0,0.0,0.0,0.0,0.0,2.0,8.0,10.0
0697d,2019-06-30,20,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0
0697d,2019-06-30,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0697d,2019-06-30,22,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0
0697d,2019-06-30,23,0.0,0.0,10.0,0.0,0.0,4.0,6.0,9.0
