id,date,hour,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
b9d58,2019-04-05,16,8.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0
b9d58,2019-04-05,17,6.0,0.0,0.0,16.0,2.0,13.0,12.0,10.0
b9d58,2019-04-05,18,0.0,0.0,0.0,6.0,0.0,7.0,8.0,5.0
b9d58,2019-04-05,19,2.0,3.0,6.0,4.0,4.0,8.0,7.0,7.0
b9d58,2019-04-05,20,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0
b9d58,2019-04-05,21,8.0,5.0,10.0,6.0,2.0,10.0,6.0,10.0
b9d58,2019-04-05,22,0.0,7.0,7.0,0.0,0.0,1.0,0.0,0.0
b9d58,2019-04-05,23,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-06,1,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-06,2,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-06,3,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-06,4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-06,5,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-06,6,14.0,11.0,9.0,8.0,2.0,6.0,6.0,2.0
b9d58,2019-04-06,7,15.0,1.0,6.0,8.0,16.0,13.0,9.0,12.0
b9d58,2019-04-06,8,1.0,0.0,0.0,0.0,4.0,9.0,5.0,6.0
b9d58,2019-04-06,9,0.0,0.0,0.0,8.0,0.0,3.0,1.0,1.0
b9d58,2019-04-06,10,0.0,0.0,0.0,4.0,0.0,5.0,1.0,0.0
b9d58,2019-04-06,11,0.0,0.0,0.0,2.0,2.0,4.0,1.0,2.0
b9d58,2019-04-06,12,0.0,2.0,3.0,4.0,2.0,6.0,6.0,1.0
b9d58,2019-04-06,13,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
b9d58,2019-04-06,14,0.0,0.0,0.0,2.0,0.0,4.0,3.0,0.0
b9d58,2019-04-06,15,0.0,0.0,0.0,6.0,0.0,7.0,3.0,3.0
b9d58,2019-04-06,16,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0
b9d58,2019-04-06,19,0.0,0.0,0.0,4.0,2.0,3.0,5.0,1.0
b9d58,2019-04-06,20,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
b9d58,2019-04-06,21,0.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0
b9d58,2019-04-07,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
b9d58,2019-04-07,7,0.0,0.0,0.0,4.0,0.0,4.0,4.0,1.0
b9d58,2019-04-07,8,0.0,2.0,2.0,6.0,4.0,5.0,5.0,1.0
b9d58,2019-04-07,9,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0
b9d58,2019-04-07,16,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0
b9d58,2019-04-07,17,0.0,0.0,0.0,10.0,2.0,5.0,6.0,1.0
b9d58,2019-04-07,18,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0
b9d58,2019-04-07,19,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0
b9d58,2019-04-07,20,0.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0
b9d58,2019-04-07,21,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0
b9d58,2019-04-08,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
b9d58,2019-04-08,6,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0
b9d58,2019-04-08,7,0.0,2.0,3.0,4.0,2.0,6.0,6.0,1.0
b9d58,2019-04-08,18,0.0,0.0,0.0,20.0,2.0,5.0,19.0,0.0
b9d58,2019-04-08,19,0.0,0.0,0.0,4.0,0.0,3.0,4.0,0.0
b9d58,2019-04-08,20,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
b9d58,2019-04-08,21,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0
b9d58,2019-04-08,22,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0
b9d58,2019-04-08,23,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
b9d58,2019-04-09,5,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0
b9d58,2019-04-09,6,0.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0
b9d58,2019-04-09,7,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0
b9d58,2019-04-09,17,0.0,0.0,0.0,4.0,2.0,3.0,6.0,0.0
b9d58,2019-04-09,18,0.0,0.0,0.0,10.0,0.0,0.0,7.0,0.0
b9d58,2019-04-09,19,0.0,0.0,0.0,4.0,0.0,5.0,3.0,2.0
b9d58,2019-04-09,21,0.0,0.0,0.0,6.0,0.0,3.0,3.0,0.0
b9d58,2019-04-09,22,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0
b9d58,2019-04-10,5,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0
b9d58,2019-04-10,6,0.0,0.0,0.0,2.0,0.0,2.0,6.0,2.0
b9d58,2019-04-10,7,0.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0
b9d58,2019-04-10,17,0.0,0.0,0.0,6.0,4.0,1.0,2.0,0.0
b9d58,2019-04-10,18,0.0,0.0,1.0,12.0,4.0,7.0,11.0,0.0
b9d58,2019-04-10,19,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
b9d58,2019-04-10,20,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
b9d58,2019-04-10,21,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
b9d58,2019-04-10,22,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
b9d58,2019-04-10,23,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
b9d58,2019-04-11,6,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0
b9d58,2019-04-11,7,0.0,2.0,2.0,4.0,2.0,4.0,4.0,0.0
b9d58,2019-04-11,18,0.0,0.0,0.0,16.0,2.0,3.0,9.0,1.0
b9d58,2019-04-11,19,0.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0
b9d58,2019-04-11,21,0.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0
b9d58,2019-04-11,23,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0
b9d58,2019-04-12,6,0.0,0.0,0.0,6.0,0.0,4.0,4.0,0.0
b9d58,2019-04-12,7,0.0,2.0,2.0,4.0,4.0,2.0,6.0,0.0
b9d58,2019-04-12,18,0.0,0.0,1.0,12.0,4.0,3.0,6.0,0.0
